Operator,Time
Operator 1,95.5
Operator 1,106.4
Operator 1,117.8
Operator 1,100.5
Operator 1,125.1
Operator 2,104.9
Operator 2,104.0
Operator 2,119.6
Operator 2,99.2
Operator 2,122.2
Operator 1,95.6
Operator 1,81.5
Operator 1,100.5
Operator 1,78.5
Operator 1,78.7
Operator 2,106.0
Operator 2,78.0
Operator 2,99.8
Operator 2,79.3
Operator 2,76.5
Operator 1,88.6
Operator 1,108.2
Operator 1,94.4
Operator 1,91.8
Operator 1,97.5
Operator 2,94.2
Operator 2,107.9
Operator 2,94.1
Operator 2,90.5
Operator 2,99.5
Operator 1,107.9
Operator 1,87.0
Operator 1,82.5
Operator 1,79.0
Operator 1,103.7
Operator 2,114.2
Operator 2,88.1
Operator 2,84.0
Operator 2,78.9
Operator 2,100.9
Operator 1,107.4
Operator 1,84.0
Operator 1,88.9
Operator 1,104.3
Operator 1,96.8
Operator 2,114.4
Operator 2,86.0
Operator 2,87.7
Operator 2,103.8
Operator 2,95.4
Operator 1,126.4
Operator 1,89.8
Operator 1,100.4
Operator 1,89.0
Operator 1,85.1
Operator 2,122.2
Operator 2,87.1
Operator 2,98.2
Operator 2,92.8
Operator 2,83.8
