Worker,Time
worker 1,95.5
worker 1,106.4
worker 1,117.8
worker 1,100.5
worker 1,125.1
worker 2,104.9
worker 2,104.0
worker 2,119.6
worker 2,99.2
worker 2,122.2
worker 1,95.6
worker 1,81.5
worker 1,100.5
worker 1,78.5
worker 1,78.7
worker 2,106.0
worker 2,78.0
worker 2,99.8
worker 2,79.3
worker 2,76.5
worker 1,88.6
worker 1,108.2
worker 1,94.4
worker 1,91.8
worker 1,97.5
worker 2,94.2
worker 2,107.9
worker 2,94.1
worker 2,90.5
worker 2,99.5
worker 1,107.9
worker 1,87.0
worker 1,82.5
worker 1,79.0
worker 1,103.7
worker 2,114.2
worker 2,88.1
worker 2,84.0
worker 2,78.9
worker 2,100.9
worker 1,107.4
worker 1,84.0
worker 1,88.9
worker 1,104.3
worker 1,96.8
worker 2,114.4
worker 2,86.0
worker 2,87.7
worker 2,103.8
worker 2,95.4
worker 1,126.4
worker 1,89.8
worker 1,100.4
worker 1,89.0
worker 1,85.1
worker 2,122.2
worker 2,87.1
worker 2,98.2
worker 2,92.8
worker 2,83.8
